type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
1,195.575,142.662,169.119,26.4564,4.26522,-4.26522,0,4.26522,199.439,171.185,28.2536,-0.488385,-0.15617,0.332214,0.562542,-1.50516,-2.0677,255.403,99.1849,50.3454,74.7652,24.4197,14.7965,3.03834,8.9174,5.87906,293.784,241.248,52.5363,3.23211,1.83898,-1.39313,0.420408,1.28408,0.863669
1,652.828,119.939,386.384,266.445,9.08889,9.08888,9.08889,3.8147e-06,728.199,387.525,340.675,-0.656979,0.073147,0.730126,2.48846,0.305871,-2.18259,382.122,513.236,135.665,324.45,188.785,111.214,62.8588,87.0366,24.1778,1646.65,772.064,874.589,-3.71967,-1.50563,2.21404,-0.820823,2.02854,2.84936
1,583.136,136.763,359.95,223.186,67.3595,65.0544,66.207,1.15256,1813.79,1005.49,808.294,0.276043,-1.68439,-1.96043,2.36792,1.74667,-0.62125,36.6117,156.638,75.8129,116.226,40.4128,15.5964,2.97881,9.28759,6.30878,2011.81,1969.4,42.4134,3.79642,3.52221,-0.274206,2.75072,-0.245527,-2.99625
1,142.686,63.4504,103.068,39.6176,4.88138,1.23395,3.05767,1.82371,425.475,379.033,46.442,-1.39897,-1.97633,-0.577359,-3.23609,-1.09964,2.13645,151.327,221.252,18.3466,119.799,101.453,28.5942,8.79155,18.6929,9.9013,1401.06,1076,325.065,-4.71687,-2.88507,1.8318,0.643831,2.52139,1.87756
1,347.735,191.145,269.44,78.295,7.37653,2.81509,5.09581,2.28072,794.574,701.418,93.1556,1.00454,1.61076,0.606218,4.43548,2.83909,-1.59639,95.354,317.756,18.2908,168.024,149.733,20.9847,11.0759,16.0303,4.95441,954.127,630.205,323.922,3.40286,1.99649,-1.40638,0.980243,0.637927,-0.342317
1,626.557,299.441,462.999,163.558,7.05366,5.14773,6.1007,0.952965,697.977,471.172,226.805,-0.666128,0.187165,0.853293,-2.36252,-3.11626,-0.753735,59.8075,637.891,213.173,425.532,212.359,101.321,78.3748,89.8479,11.4732,1835.27,1174.09,661.183,-3.47221,-1.67032,1.80189,-2.2992,-0.25037,2.04883
1,314.128,18.7806,166.455,147.674,2.04417,0.143988,1.09408,0.950091,357.997,203.65,154.347,0.357177,0.656628,0.299451,1.69539,-0.638422,-2.33381,135.378,508.416,289.426,398.921,109.495,64.6391,40.8629,52.751,11.8881,1980.44,785.006,1195.43,-4.37693,-1.29555,3.08138,2.66969,2.11024,-0.559454
1,218.859,59.8605,139.36,79.4991,4.73318,0.108141,2.42066,2.31252,351.197,270.898,80.2986,-1.14515,-1.28389,-0.138732,4.86633,2.81243,-2.0539,215.941,319.304,17.0389,168.171,151.132,22.4546,-10.5351,5.95975,16.4949,1028.46,541.229,487.229,-3.67503,-1.83688,1.83815,-0.466578,-0.141201,0.325376
1,261.478,98.9491,180.214,81.2645,9.00005,-0.550634,4.22471,4.77534,270.487,180.274,90.2134,0.450972,-0.0108819,-0.461854,-4.57572,-1.75943,2.81628,277.924,488.134,198.73,343.432,144.702,96.5684,60.7804,78.6744,17.894,2571.02,1392.35,1178.66,4.86239,2.07569,-2.7867,0.469329,1.13937,0.670041
1,638.787,190.208,414.497,224.29,2.36367,0.760482,1.56208,0.801595,727.931,498.129,229.802,-0.403773,-0.625009,-0.221236,-3.56198,-0.667663,2.89432,126.468,333.086,9.44739,171.267,161.819,35.9863,-7.06653,14.4599,21.5264,1488.39,822.363,666.025,4.34328,2.25092,-2.09236,5.04535,2.04381,-3.00154
1,712.229,137.169,424.699,287.53,17.9782,2.82431,10.4013,7.57696,713.149,424.914,288.235,-0.0851848,-0.0202848,0.0649,2.92246,1.96969,-0.952769,215.017,428.087,198.741,313.414,114.673,23.6406,11.72,17.6803,5.96033,1430.05,560.551,869.503,3.89919,1.18461,-2.71458,1.61233,-1.01967,-2.632
1,321.981,274.516,298.248,23.7324,3.09445,1.2677,2.18107,0.913372,415.672,321.792,93.8809,2.44662,0.394707,-2.05191,-1.35941,0.381048,1.74046,242.057,506.224,388.717,447.47,58.7535,42.3899,31.2755,36.8327,5.55723,2195.16,1640.32,554.839,4.90839,1.97278,-2.93561,-1.12056,-2.91719,-1.79663
1,311.346,93.0868,202.216,109.13,7.36036,-0.966787,3.19679,4.16357,485.656,314.592,171.064,-0.00952911,1.01061,1.02014,1.80615,0.780105,-1.02604,247.042,412.663,115.772,264.218,148.446,70.058,-6.14318,31.9574,38.1006,2125.99,398.195,1727.79,-4.10983,-0.964397,3.14544,0.376,-2.43286,-2.80886
1,207.759,115.395,161.577,46.1821,2.35665,0.287436,1.32204,1.03461,315.974,233.596,82.3774,-2.09407,-0.912187,1.18189,-4.00313,-1.55633,2.4468,203.987,312.863,157.922,235.392,77.4704,25.337,11.3795,18.3583,6.97874,1482.91,554.059,928.851,4.67546,1.50003,-3.17543,2.48673,1.06251,-1.42422
1,261.397,58.3489,159.873,101.524,8.71175,0.252668,4.48221,4.22954,332.351,218.904,113.448,1.31305,0.834576,-0.478477,-2.12619,-2.75016,-0.623969,227.298,463.449,206.291,334.87,128.579,53.7993,21.2284,37.5139,16.2854,2445.71,2070.89,374.823,4.23961,2.50837,-1.73124,2.45678,1.45124,-1.00554
1,213.897,66.8243,140.361,73.5364,6.94623,3.55714,5.25168,1.69455,372.288,225.481,146.807,-0.263032,1.05176,1.31479,-2.26527,0.113273,2.37854,242.279,513.913,314.516,414.215,99.6986,87.8774,65.4099,76.6437,11.2338,1509.97,621.02,888.948,-3.82923,-0.951439,2.87779,-3.52525,-2.73493,0.790322
1,391.893,316.628,354.261,37.6324,5.49211,4.13485,4.81348,0.678633,427.865,379.767,48.0986,0.352363,-0.377003,-0.729366,1.5093,0.192181,-1.31712,209.039,574.492,109.418,341.955,232.537,86.6156,62.7757,74.6956,11.9199,2167.46,840.235,1327.23,3.9707,1.54356,-2.42714,5.78347,2.92248,-2.86099
