type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
1,527.22,71.6931,299.457,227.764,7.75487,7.75487,7.75487,0,656.824,385.357,271.468,-0.130096,-0.740083,-0.609987,2.96158,2.9211,-0.0404724,48.5498,313.146,181.777,247.462,65.6847,27.7716,8.17842,17.975,9.79661,1301.78,1079.85,221.935,-4.03992,-2.15293,1.88699,-4.04171,-1.21351,2.8282
1,194.304,126.884,160.594,33.7098,11.3487,7.8472,9.59797,1.75077,732.39,567.381,165.009,-0.33621,1.93449,2.2707,3.0818,2.0046,-1.07719,75.434,125.638,7.31137,66.4747,59.1633,16.7546,2.71736,9.73598,7.01862,703.861,374.394,329.467,4.81524,2.41331,-2.40193,-2.74207,-1.64643,1.09563
1,358.474,256.552,307.513,50.9612,7.50596,6.54907,7.02751,0.478444,364.154,311.789,52.3644,0.398985,0.165031,-0.233954,-1.31805,0.639741,1.95779,120.141,420.629,196.019,308.324,112.305,31.2845,1.48142,16.383,14.9015,1629.65,722.888,906.764,4.27385,1.49603,-2.77782,-0.983158,-2.75116,-1.768
1,126.457,32.0661,79.2614,47.1954,3.37425,1.23584,2.30504,1.06921,141.313,83.2566,58.0565,0.980686,0.31493,-0.665756,2.7924,2.58475,-0.207654,119.845,357.661,79.3551,218.508,139.153,65.5229,44.1292,54.8261,10.6968,1336.02,999.172,336.844,3.73048,2.19953,-1.53095,-2.22465,-1.14945,1.0752
1,203.48,104.111,153.796,49.6843,5.1887,0.19415,2.69143,2.49728,487.68,423.561,64.1189,-2.4152,-1.67148,0.743724,4.22611,2.1242,-2.10191,48.1663,202.25,81.2722,141.761,60.4887,26.4289,14.0763,20.2526,6.17633,1075.75,834.852,240.901,-4.51726,-2.45867,2.05859,0.78292,-1.32308,-2.106
1,992.632,145.932,569.282,423.35,19.8806,11.6414,15.761,4.11963,1593.47,599.169,994.3,1.81975,0.321524,-1.49822,3.46583,0.989612,-2.47622,70.7265,517.058,145.08,331.069,185.989,38.5186,3.60901,21.0638,17.4548,2058.58,387.316,1671.26,3.45773,0.572102,-2.88563,-3.67061,-1.32934,2.34127
1,380.443,258.964,319.703,60.7393,9.49371,3.93568,6.71469,2.77901,484.58,326.565,158.016,-1.81568,-0.205772,1.60991,0.470505,2.57614,2.10564,45.3536,589.518,344.427,466.972,122.545,86.5662,57.0194,71.7928,14.7734,1388.07,927.337,460.733,-3.30405,-1.30527,1.99878,-2.44831,-0.960578,1.48774
1,560.079,387.132,473.606,86.4739,13.1056,-8.27145,2.41706,10.6885,789.009,505.421,283.588,1.49149,-0.364491,-1.85598,-2.88716,-0.856274,2.03089,111.978,600.175,495.719,547.947,52.2283,99.5917,85.138,92.3648,7.22684,2207.17,562.489,1644.68,4.30117,0.158611,-4.14256,3.93853,2.12275,-1.81578
1,1287.67,4.22424,645.948,641.724,44.1685,26.4481,35.3083,8.86023,1713.93,932.871,781.061,-0.262247,-0.909742,-0.647494,-2.66269,-0.257079,2.40561,99.6665,444.471,192.301,318.386,126.085,32.3684,9.2941,20.8312,11.5371,579.544,319.19,260.354,1.38041,0.0278876,-1.35252,-2.83481,-2.06448,0.770332
1,361.756,103.568,232.662,129.094,33.4966,-24.7761,4.36023,29.1363,982.417,254.891,727.527,2.84683,0.433357,-2.41348,2.40974,2.85467,0.444932,46.1135,150.6,8.07663,79.3384,71.2618,24.804,5.84088,15.3224,9.48156,616.665,296.572,320.093,4.17426,1.99194,-2.18232,-0.852097,-1.00951,-0.157411
