type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
1,1069.78,896.002,982.889,86.8873,36.1251,29.8075,32.9663,3.15881,1337.58,1243.66,93.9223,0.314396,0.712647,0.398251,-3.02934,-2.1973,0.832046,1252.41,549.309,191.951,370.63,178.679,56.3031,8.50738,32.4052,23.8978,2298.68,1786.81,511.878,-3.96755,-2.25503,1.71253,-2.16425,-3.08644,-0.922195
1,560.291,196.28,378.286,182.005,6.80824,-4.29741,1.25541,5.55282,608.319,398.411,209.908,-0.870934,-0.324748,0.546186,-3.45863,-0.442687,3.01594,245.515,541.223,413.923,477.573,63.6503,82.2009,66.5508,74.3759,7.82506,1477.5,708.794,768.701,4.12328,0.940609,-3.18267,2.88392,2.59362,-0.290301
1,209.794,115.376,162.585,47.2091,3.67341,1.68212,2.67776,0.995643,518.502,465.984,52.5181,-2.18366,-1.71416,0.469501,-5.4312,-2.57619,2.85501,193.303,427.744,131.98,279.862,147.882,76.5494,64.045,70.2972,6.25223,1460.6,782.249,678.349,3.88728,1.68303,-2.20425,-0.78514,-0.0584652,0.726675
1,115.137,40.9251,78.031,37.1059,4.09243,0.0102503,2.05134,2.04109,419.881,382.702,37.1796,-2.30354,-2.27272,0.0308161,2.74165,2.3406,-0.401048,39.9893,493.607,118.602,306.105,187.502,107.406,41.0228,74.2146,33.1918,1645.67,647.587,998.082,3.72943,1.37374,-2.35569,-2.74532,-1.51533,1.22998
1,107.22,30.8602,69.0401,38.18,11.3104,6.73619,9.0233,2.28711,883.174,808.553,74.6214,1.8621,3.15181,1.28971,2.52022,0.464501,-2.05572,370,430.966,49.5,240.233,190.733,29.7932,18.3733,24.0833,5.70995,2257.79,387.411,1870.38,4.02811,1.05456,-2.97355,-0.56306,2.46537,3.02843
1,427.529,227.197,327.363,100.166,10.9108,8.39343,9.6521,1.25868,662.691,529.661,133.03,0.271678,1.06101,0.789329,0.917165,-1.60503,-2.5222,117.85,367.158,39.3746,203.266,163.892,33.715,0.946367,17.3307,16.3843,1993.86,560.806,1433.05,-4.53106,-1.6729,2.85815,0.776383,1.46491,0.688525
1,115.137,40.9251,78.031,37.1059,4.09243,0.0102503,2.05134,2.04109,419.881,382.702,37.1796,-2.30354,-2.27272,0.0308161,2.74165,2.3406,-0.401048,39.9893,493.607,118.602,306.105,187.502,107.406,41.0228,74.2146,33.1918,1645.67,647.587,998.082,3.72943,1.37374,-2.35569,-2.74532,-1.51533,1.22998
1,554.436,428.376,491.406,63.0302,19.8787,19.8787,19.8787,-1.90735e-06,642.641,492.422,150.219,-1.46439,0.0500026,1.51439,2.59436,1.31437,-1.27999,98.2434,725.794,501.072,613.433,112.361,85.3842,52.9837,69.184,16.2003,2429.94,711.252,1718.69,-3.96766,-0.548028,3.41963,-4.24334,-1.76962,2.47372
1,913.262,88.7372,501,412.263,16.3226,2.36558,9.34408,6.9785,1155.82,720.474,435.344,-1.23741,-0.904724,0.332684,-2.76273,-0.387577,2.37515,189.244,597.07,140.273,368.671,228.399,91.5281,57.1283,74.3282,17.1999,2763.44,922.76,1840.68,-4.34055,-1.56453,2.77603,4.55027,3.12739,-1.42288
1,583.136,136.763,359.95,223.186,67.3595,65.0544,66.207,1.15256,1813.79,1005.49,808.294,0.276043,-1.68439,-1.96043,2.36792,1.74667,-0.62125,36.6117,156.638,75.8129,116.226,40.4128,15.5964,2.97881,9.28759,6.30878,2011.81,1969.4,42.4134,3.79642,3.52221,-0.274206,2.75072,-0.245527,-2.99625
1,269.393,120.274,194.834,74.5596,15.0198,13.6386,14.3292,0.690614,353.858,248.888,104.97,-0.148969,0.726,0.874969,-1.9933,-1.14391,0.849393,120.393,478.7,167.653,323.176,155.524,96.2709,32.8932,64.5821,31.6888,1716.94,585.536,1131.4,-3.86583,-1.19342,2.67241,4.41829,2.55751,-1.86078
1,113.187,44.6762,78.9316,34.2554,8.2511,4.17691,6.214,2.0371,412.441,363.785,48.6557,-1.32272,-2.209,-0.886276,0.398306,2.5685,2.1702,40.8481,102.375,0.798679,51.5868,50.7882,16.3493,1.12088,8.73511,7.61424,548.883,254.091,294.792,-4.72041,-2.2765,2.44391,-0.696354,-1.01927,-0.322911
1,172.786,99.2896,136.038,36.7481,5.11823,2.59221,3.85522,1.26301,369.531,275.528,94.0032,0.260314,-1.33138,-1.59169,-3.55923,-1.61425,1.94497,322.954,551.72,400.849,476.285,75.4354,49.7284,19.9471,34.8377,14.8906,2103.34,480.168,1623.17,-3.86622,-0.104796,3.76142,2.39077,1.53093,-0.859846
1,189.572,143.758,166.665,22.9072,1.77555,1.77555,1.77555,0,249.846,201.844,48.0012,0.731648,-0.638752,-1.3704,-3.68921,-2.16218,1.52702,208.515,518.592,172.953,345.772,172.82,95.8622,74.2156,85.0389,10.8233,2732.02,825.78,1906.24,4.6025,1.51079,-3.09171,-1.82283,-0.0703238,1.75251
1,847.987,134.907,491.447,356.54,13.1212,-3.64498,4.7381,8.38308,853.948,496.957,356.991,-0.193787,-0.149301,0.0444856,-2.16747,0.661219,2.82869,250.911,726.961,659.277,693.119,33.842,67.2566,54.1299,60.6932,6.56338,1495.13,733.365,761.764,4.13503,0.328477,-3.80655,-2.68646,-1.52407,1.16239
1,500.138,145.417,322.777,177.361,18.1721,9.76445,13.9683,4.20382,506.554,327.127,179.427,-0.00760154,-0.15828,-0.150678,-1.83988,-1.36084,0.479037,165.958,902.073,401.007,651.54,250.533,109.101,54.5545,81.8276,27.2731,2427.41,1240.42,1186.99,-3.49413,-1.257,2.23714,3.56855,1.53131,-2.03724
1,578.339,154.371,366.355,211.984,6.01316,2.02046,4.01681,1.99635,826.816,452.703,374.112,-0.49535,0.673694,1.16904,-3.45193,-1.5884,1.86353,261.824,389.581,162.435,276.008,113.573,40.436,22.3081,31.3721,9.06395,2212.7,336.933,1875.77,-4.1417,-0.645157,3.49655,0.292639,1.49982,1.20718
1,139.515,40.1383,89.8267,49.6884,1.85124,-1.85124,-1.3487e-06,1.85124,170.602,109.306,61.2957,-0.0228777,0.647215,0.670093,-1.41543,-2.56617,-1.15074,375.899,402.974,159.892,281.433,121.541,43.2986,3.21786,23.2582,20.0404,1587.72,665.859,921.858,-4.22034,-1.50567,2.71468,-1.26744,0.159914,1.42735
1,588.31,530.102,559.206,29.1036,13.8962,9.87001,11.8831,2.01307,749.912,678.655,71.2572,-0.901324,0.642233,1.54356,-1.85045,-2.47755,-0.627096,80.049,696.919,497.893,597.406,99.5127,88.8739,73.4998,81.1869,7.68703,2575.68,846.405,1729.27,4.42489,0.877417,-3.54748,-2.09972,0.56821,2.66793
1,397.932,256.728,327.33,70.6022,9.20042,3.23774,6.21908,2.98134,487.411,363.964,123.447,-1.62587,-0.468477,1.1574,4.80425,1.68071,-3.12353,59.0503,314.165,3.78455,158.975,155.19,16.9812,7.97578,12.4785,4.50269,1886.07,904.584,981.488,4.95521,2.42397,-2.53124,0.00602227,-0.959633,-0.965655
1,427.529,227.197,327.363,100.166,10.9108,8.39343,9.6521,1.25868,662.691,529.661,133.03,0.271678,1.06101,0.789329,0.917165,-1.60503,-2.5222,117.85,367.158,39.3746,203.266,163.892,33.715,0.946367,17.3307,16.3843,1993.86,560.806,1433.05,-4.53106,-1.6729,2.85815,0.776383,1.46491,0.688525
